City,Lat,Lon,Country,Date,Max Temp,Humidity,Cloudiness,Wind Speed
Kapaa,22.08,-159.32,US,1551401605,24.0,47,40,8.2
Hwange,-18.35,26.5,ZW,1551401869,21.56,68,8,1.46
Ushuaia,-54.81,-68.31,AR,1551401358,7.06,100,92,1.51
Yermakovskoye,53.28,92.4,RU,1551401873,-8.55,72,80,1.31
Ribeira Grande,38.52,-28.7,PT,1551401876,16.68,93,36,8.66
Zaozerne,51.37,23.94,UA,1551401877,1.78,70,88,9.16
Punta Arenas,-53.16,-70.91,CL,1551401589,11.0,81,75,2.1
Luderitz,-26.65,15.16,NA,1551401882,16.96,75,0,7.51
Mataura,-46.19,168.86,NZ,1551401408,14.44,86,64,5.81
Puerto Ayora,-0.74,-90.35,EC,1551398400,28.0,74,75,3.1
Carnarvon,-30.97,22.13,ZA,1551401760,11.93,62,0,1.71
Adrar,27.87,-0.29,DZ,1551398400,10.0,37,0,4.1
Malkangiri,18.35,81.9,IN,1551401381,14.08,90,0,1.16
Canutama,-6.53,-64.38,BR,1551401896,24.93,88,76,1.66
Rikitea,-23.12,-134.97,PF,1551401643,25.18,100,32,2.51
Avarua,-21.21,-159.78,CK,1551400200,29.0,79,88,3.6
Busselton,-33.64,115.35,AU,1551401656,20.56,39,0,8.36
Albany,42.65,-73.75,US,1551401903,-6.67,61,1,2.6
Ambilobe,-13.19,49.05,MG,1551401912,24.33,88,24,5.31
Vardo,39.62,-77.74,US,1551401912,3.89,37,1,2.6
Ossora,59.24,163.07,RU,1551401916,-18.75,100,12,1.66
Mount Darwin,-16.77,31.58,ZW,1551401918,18.91,73,12,2.51
Longyearbyen,78.22,15.63,NO,1551397800,-20.0,76,20,6.2
Tuktoyaktuk,69.44,-133.03,CA,1551398400,-18.0,64,5,7.2
Cape Town,-33.93,18.42,ZA,1551401569,21.11,88,75,2.6
Peniche,39.36,-9.38,PT,1551401877,11.67,87,20,4.6
Torbay,47.66,-52.73,CA,1551401617,-6.67,72,75,13.9
Yellowknife,62.45,-114.38,CA,1551401715,-25.0,57,5,6.7
Manta,45.1,24.1,RO,1551401717,5.56,52,0,0.45
Hilo,19.71,-155.08,US,1551401902,23.33,49,90,7.2
Chuy,-33.69,-53.46,UY,1551401944,21.78,73,88,1.46
Aklavik,68.22,-135.01,CA,1551398400,-11.0,56,5,4.6
Arraial do Cabo,-22.97,-42.02,BR,1551398400,24.0,94,75,1.5
Penzance,50.12,-5.53,GB,1551401702,10.56,87,0,6.2
Jamestown,-33.21,138.6,AU,1551401960,28.5,44,0,3.46
Languyan,48.3,-3.83,FR,1551401888,10.56,93,75,3.1
Waipawa,-39.94,176.59,NZ,1551401656,18.89,45,0,1.34
Iqaluit,63.75,-68.52,CA,1551401564,-17.78,77,90,10.3
Hami,42.84,93.51,CN,1551401968,-6.75,61,0,2.41
Ostrovnoy,68.05,39.51,RU,1551401774,-5.97,91,80,5.91
Rio Grande,-32.03,-52.1,BR,1551401973,20.83,86,0,2.16
Bredasdorp,-34.53,20.04,ZA,1551401165,20.0,94,68,2.6
Bereda,43.27,-7.54,ES,1551401938,11.11,93,0,2.1
Cherskiy,68.75,161.3,RU,1551401225,-23.22,68,24,0.16
Barrow,-38.31,-60.23,AR,1551401986,15.96,68,0,4.11
Vao,59.1,26.19,EE,1551401709,-5.47,74,76,6.11
Clyde River,70.47,-68.59,CA,1551400980,-20.0,76,1,15.4
Shahr-e Kord,32.33,50.85,IR,1551398400,-1.0,100,90,2.1
Kaoma,-14.8,24.8,ZM,1551401998,18.78,83,12,1.61
Saint-Philippe,45.36,-73.48,CA,1551401779,-10.0,71,1,3.11
Butaritari,3.07,172.79,KI,1551402010,24.81,100,92,4.31
Verkhnevilyuysk,63.45,120.31,RU,1551402012,-14.4,79,44,1.21
Saskylakh,71.97,114.09,RU,1551401977,-29.1,58,44,2.76
Provideniya,64.42,-173.23,RU,1551400200,1.0,86,90,19.0
Lebu,8.96,38.73,ET,1551402021,7.81,65,0,1.76
La Ronge,55.1,-105.3,CA,1551399000,-17.0,77,75,2.1
Haysyn,48.81,29.39,UA,1551402034,4.21,72,36,8.76
Keelung,25.13,121.74,TW,1551401524,20.56,82,75,6.2
Taoudenni,22.68,-3.98,ML,1551402041,9.18,38,0,2.51
Rawson,-43.3,-65.11,AR,1551402042,17.56,60,80,3.86
Hasaki,35.73,140.83,JP,1551401374,8.89,87,75,3.6
Namibe,-15.19,12.15,AO,1551402046,25.36,100,64,0.86
Deputatskiy,69.3,139.9,RU,1551401816,-37.72,0,0,1.16
Belyy Yar,53.6,91.39,RU,1551400200,-6.0,85,80,1.16
Cabedelo,-6.97,-34.84,BR,1551398400,27.0,83,20,2.6
Conakry,9.52,-13.7,GN,1551398400,27.0,88,48,3.96
Atuona,-9.8,-139.03,PF,1551402083,27.11,100,8,3.46
Harper,30.3,-99.24,US,1551401241,12.78,87,90,2.6
East London,-33.02,27.91,ZA,1551402092,23.58,100,0,9.31
Waingapu,-9.65,120.26,ID,1551401928,26.18,93,12,1.81
Port Alfred,-33.59,26.89,ZA,1551401832,21.11,81,0,3.13
New Norfolk,-42.78,147.06,AU,1551402075,29.44,54,20,2.6
Comodoro Rivadavia,-45.87,-67.48,AR,1551398400,16.0,77,0,5.56
Hobart,-42.88,147.33,AU,1551402015,27.78,60,20,2.6
Ixtapa,20.71,-105.21,MX,1551401707,25.0,69,5,4.6
Norman Wells,65.28,-126.83,CA,1551398400,-18.0,64,75,5.1
Fukue,35.03,136.69,JP,1551402014,13.89,62,75,13.9
Iberia,-11.41,-69.49,PE,1551402141,24.43,89,88,0.96
Komsomolskiy,67.55,63.78,RU,1551402144,-18.72,77,44,4.61
Vostok,46.45,135.83,RU,1551402167,-4.82,78,80,1.26
Wenling,28.38,121.38,CN,1551402152,10.56,91,100,3.96
Ilhabela,-23.78,-45.36,BR,1551402112,24.93,100,92,7.76
Upata,8.02,-62.41,VE,1551402041,26.11,67,56,2.24
Vestmannaeyjar,63.44,-20.27,IS,1551401914,6.53,93,76,7.76
Cayenne,4.94,-52.33,GF,1551400200,25.0,78,92,1.0
Qaanaaq,77.48,-69.36,GL,1551402191,-26.1,87,0,5.26
Port Hardy,50.7,-127.42,CA,1551398400,6.0,60,20,1.0
Balsas,-7.53,-46.04,BR,1551402053,21.18,100,88,2.56
Aykhal,65.95,111.51,RU,1551402201,-16.75,64,68,1.21
Labuhan,-2.54,115.51,ID,1551402203,23.28,96,76,1.21
Wollongong,-34.42,150.89,AU,1551402080,28.33,54,75,5.1
Castro,-42.48,-73.76,CL,1551398400,13.0,76,75,2.6
Yar-Sale,66.83,70.83,RU,1551402221,-16.17,82,76,4.81
Altay,47.83,88.13,CN,1551402223,-11.0,78,88,1.61
Bethel,60.79,-161.76,US,1551401580,5.0,85,75,7.2
Las Vegas,36.17,-115.15,US,1551401915,23.0,20,1,7.7
Port Elizabeth,39.31,-74.98,US,1551402230,2.22,53,1,2.6
San Jose,15.79,120.99,PH,1551402255,21.41,90,44,1.16
Ruiru,-1.16,36.96,KE,1551402108,17.0,59,0,2.1
Makrakomi,38.93,22.12,GR,1551402059,6.11,72,0,2.1
Hualmay,-11.1,-77.61,PE,1551402007,23.21,75,8,1.86
Saldanha,41.42,-6.55,PT,1551402283,0.71,78,0,1.06
Ancud,-41.87,-73.83,CL,1551398400,13.0,76,75,2.6
Chapais,49.78,-74.86,CA,1551398400,-16.0,77,40,2.1
Muros,42.77,-9.06,ES,1551402271,10.56,93,0,1.0
Dikson,73.51,80.55,RU,1551402292,-15.95,89,56,11.76
Zatoka,50.04,20.52,PL,1551402287,7.22,70,40,3.1
Lumphat,13.5,106.97,KH,1551402297,23.36,69,0,2.36
Turkmenabat,39.09,63.58,TM,1551398400,9.0,81,0,6.2
Victoria,5.28,115.24,BN,1551400200,26.67,94,75,2.1
Manggar,-2.88,108.27,ID,1551402315,26.33,98,20,1.96
Chama,-11.22,33.16,ZM,1551402318,19.58,78,12,1.06
Pacific Grove,36.62,-121.92,US,1551402149,15.0,67,40,2.66
Coquimbo,-29.95,-71.34,CL,1551398400,16.0,82,0,3.6
Nagato,34.35,131.14,JP,1551401725,10.0,93,20,1.5
Mogadishu,2.04,45.34,SO,1551402041,26.21,100,0,6.86
Kavaratti,10.57,72.64,IN,1551402330,27.96,100,0,5.11
Bluff,-23.58,149.07,AU,1551402331,26.68,44,36,5.56
Pevek,69.7,170.27,RU,1551402333,-18.72,80,56,6.46
Vaini,15.34,74.49,IN,1551398400,14.0,82,0,0.76
Georgetown,6.8,-58.16,GY,1551398400,26.0,78,20,5.1
Constitucion,23.99,-104.67,MX,1551402016,27.0,10,5,10.3
